L_Hip_x,L_Hip_y,L_Hip_z,L_Knee_x,L_Knee_y,L_Knee_z,L_Ankle_x,L_Ankle_y,L_Ankle_z,L_Toe_x,L_Toe_y,L_Toe_z,R_Hip_x,R_Hip_y,R_Hip_z,R_Knee_x,R_Knee_y,R_Knee_z,R_Ankle_x,R_Ankle_y,R_Ankle_z,R_Toe_x,R_Toe_y,R_Toe_z
0.12301481,0.37434676,-0.0744178,0.019813785,0.3083058,-0.09601813,-0.02939639,0.00783552,-0.07649483,0.0,0.0,0.0,0.15626943,-0.3541566,-0.009165411,0.02970919,1.131364,-0.028497376,0.018333364,0.02366668,-0.049182195,0.0077184937,0.08606005,-0.02533602
0.1958514,0.40496972,-0.10300287,0.016706252,0.23937257,-0.12005918,-0.088694915,0.2624842,-0.09308117,-0.0017083868,0.005036523,-0.0014779635,0.20765646,-0.40401363,0.031173682,0.026739428,0.7527358,-0.033048544,0.0056892456,0.012958191,-0.05373225,0.0048295637,0.079623654,-0.031479817
0.20021327,0.39880258,-0.11304334,0.044458304,0.29788384,-0.12623739,-0.10941428,0.35101467,-0.08570557,-0.005628262,0.011312263,-0.004274953,0.22177817,-0.39362827,0.054688755,-0.010354083,0.35059068,-0.0069604586,-0.001466557,-0.00404959,-0.02751396,0.0021264937,0.058018852,-0.027462276
0.16132152,0.38862824,-0.113668695,0.08206563,0.49048272,-0.124474086,-0.10372338,0.31486776,-0.07123525,-0.007624719,0.014335558,-0.005163293,0.21530789,-0.35532624,0.053392515,-0.027769912,0.087407745,0.01945299,-0.00037545216,-0.030770991,0.0068132384,-0.0005087852,0.0323712,-0.021025488
0.14464407,0.37824532,-0.12955779,0.07860463,0.7739135,-0.11455179,-0.08998479,0.26785728,-0.057036128,-0.005751897,0.014918682,-0.0025408454,0.23995446,-0.31583443,0.06651436,-0.022349495,0.08936387,0.038244918,0.0025860681,-0.04840341,0.02454955,-0.0038878787,-0.005451303,-0.010716854
0.16414073,0.35427144,-0.11646782,0.010786316,1.0891372,-0.04813866,-0.06718643,0.23286311,-0.0316587,-0.005729749,0.014558813,-0.0018472165,0.2956841,-0.27559015,0.081429146,-0.021149704,0.30626932,0.03285927,-0.0017210682,-0.03861647,0.007893862,-0.0035085499,-0.015233511,-0.0025036484
0.20896757,0.2935728,-0.06510236,-0.03160815,1.372254,0.014366145,-0.048856698,0.19524543,-0.011107417,-0.005324153,0.011805598,-0.00020024068,0.34016275,-0.21627444,0.08310644,-0.0077764085,0.5704383,0.015365766,-0.028695893,-0.11630335,-0.019766156,-0.0014337193,-0.005548608,-0.0006469208
0.23269178,0.16423969,-0.015376411,-0.015471444,1.5516233,0.0139243975,-0.04635229,0.15078391,-0.015791556,6.026528e-05,0.0043686167,-0.00085828616,0.33707407,-0.09227922,0.0478319,-0.0016211777,0.6663572,0.003273377,-0.06344165,-0.24197249,-0.038518034,-0.00029025783,-0.00077292137,8.635963e-05
0.19132549,-0.004352578,0.027379282,-0.0009878298,1.5706267,0.0009728564,-0.04880376,0.09754172,-0.03492759,0.004046706,0.0029742103,-0.0042964085,0.28293702,0.08616296,0.0032202385,-0.024119651,0.5806565,0.013390085,-0.07111525,-0.2876336,-0.034445945,0.0,0.0,0.0
0.08660995,-0.16889964,0.052188825,-0.016943207,1.4301646,0.004672811,-0.041275084,0.051918093,-0.038511,0.0013907129,0.02303385,-0.0025883701,0.16762492,0.2591715,-0.0071233828,-0.049087696,0.4170881,0.043908883,-0.034878917,-0.17227916,0.005514625,0.0004175343,0.00040380846,0.0007883158
-0.023887971,-0.29670173,0.03653756,-0.047119297,1.1630213,0.024089085,-0.02181762,0.031785786,-0.0048642047,-0.0039434857,0.04219595,0.0045255204,0.022577124,0.36547744,0.030212145,-0.050688516,0.2850103,0.084980406,0.030671325,0.074980594,0.058857456,0.00083926803,0.0010980321,0.0011219273
-0.08470286,-0.35946348,0.0016737181,-0.04938579,0.8043764,0.032052625,9.64351e-05,0.012167474,0.02555613,-0.005247595,0.045415573,0.011509207,-0.077677675,0.40111122,0.076823175,-0.057502307,0.23671117,0.12049236,0.07924773,0.28691083,0.08556952,0.0031205728,0.007437406,0.0028795998
-0.07011958,-0.35121346,-0.01782035,-0.010234091,0.41313928,0.009752998,0.012063637,-0.01369512,0.018596396,-0.003422076,0.037449878,0.013452358,-0.0657924,0.40517864,0.0854303,-0.09691756,0.31235185,0.1323814,0.08857418,0.32784832,0.08000183,0.007139119,0.016311461,0.005891231
-0.04260398,-0.31004226,-0.02188355,0.016389795,0.13724491,-0.018785933,0.009916609,-0.047461115,-0.0114709055,-0.0011227665,0.027159857,0.012484611,0.0073549184,0.40151638,0.07547877,-0.14266558,0.514553,0.13640551,0.07692704,0.28233927,0.05755173,0.009166517,0.023564603,0.006093496
-0.05643106,-0.27081624,-0.034306344,0.0021081697,0.119512215,-0.034123287,0.0008682685,-0.059340086,-0.030773496,0.0021923885,-0.0012045905,0.0068210615,0.045672163,0.37751836,0.07659914,-0.1362618,0.80949014,0.12066897,0.058938704,0.23386325,0.020377982,0.013008146,0.03594096,0.0052142236
-0.09569981,-0.23271042,-0.042863827,-0.022151208,0.33445394,-0.01659798,0.008233693,-0.07009296,-0.014970245,0.002236367,-0.010189378,0.0018148932,0.029892735,0.32256362,0.07559862,-0.07073425,1.1268225,0.063937016,0.04214054,0.20155191,-0.026690139,0.018269895,0.04583154,0.0021004772
-0.12757641,-0.16667926,-0.043322075,-0.050213516,0.5826139,0.009796432,0.04056381,-0.1775732,0.008725951,0.0008277064,-0.003941724,0.00064800447,-3.620057e-05,0.23218012,0.054753143,-0.01331932,1.3882587,0.011775537,0.033614166,0.17126217,-0.056266565,0.016147684,0.03814589,-0.0034201401
-0.11627441,-0.03416528,-0.03160904,-0.04864431,0.66021645,0.012052188,0.072770074,-0.31298307,0.021039337,0.0,0.0,0.0,0.0053444076,0.08342661,0.024250641,0.0022851797,1.5365554,-0.0024778221,0.03316639,0.13194971,-0.060221396,0.010113161,0.027935417,-0.0061239693
