Frame,Pelvis_X,Pelvis_Y,Pelvis_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,L_Toe_X,L_Toe_Y,L_Toe_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,R_Toe_X,R_Toe_Y,R_Toe_Z
32,0.95623,-0.27388,0.98149,0.9561900000000001,-0.16416,0.87464,1.14449,-0.1942,0.51112,1.01227,-0.19681,0.14037,1.12932,-0.18602,0.05846,0.96153,-0.35359,0.8624700000000001,0.82676,-0.34926,0.47654,0.5748,-0.33596,0.18196,0.62025,-0.32775,0.03594
33,0.97177,-0.27366,0.98344,0.9714700000000001,-0.1637,0.8767,1.15713,-0.19402,0.51068,1.04324,-0.19817,0.13393,1.16514,-0.18889,0.058649999999999994,0.9766,-0.35312,0.86431,0.83931,-0.3492,0.4793,0.58187,-0.33852,0.18921,0.6240300000000001,-0.3304,0.04221
34,0.98719,-0.27348,0.9850800000000001,0.98671,-0.16338,0.87838,1.16951,-0.1938,0.50976,1.0738400000000001,-0.1995,0.12817,1.20025,-0.19176,0.0596,0.99166,-0.3528,0.8659100000000001,0.85243,-0.34905,0.48169,0.58909,-0.34097,0.19671,0.6280800000000001,-0.3332,0.04888
35,1.0024899999999999,-0.27335,0.9864,1.00191,-0.16318,0.87966,1.18166,-0.19354,0.50841,1.10392,-0.20082,0.12312999999999999,1.23449,-0.19458,0.061270000000000005,1.00671,-0.3526,0.86722,0.8661300000000001,-0.34883,0.48367000000000004,0.59653,-0.34331,0.20444,0.6324,-0.33611,0.0559
36,1.01766,-0.27325,0.98738,1.01709,-0.16308,0.88054,1.19366,-0.19325,0.50671,1.13335,-0.20213,0.11883,1.2677200000000002,-0.19729,0.06361,1.0217800000000001,-0.35252,0.8682500000000001,0.88039,-0.34855,0.48521000000000003,0.60422,-0.34555,0.21239,0.6369900000000001,-0.3391,0.06322
37,1.03272,-0.27317,0.98802,1.0322500000000001,-0.16307,0.8810100000000001,1.2055600000000002,-0.19293,0.50471,1.16199,-0.20347,0.11524,1.29979,-0.19987,0.06651,1.03688,-0.35253,0.86897,0.8952,-0.3482,0.4863,0.61222,-0.34771,0.22052,0.64185,-0.34212,0.07079
38,1.04766,-0.27311,0.98831,1.0474,-0.16314,0.88108,1.21746,-0.19259,0.50248,1.18968,-0.20483,0.11233,1.33054,-0.20229,0.06985,1.0520100000000001,-0.35262,0.86937,0.91056,-0.34781,0.48693000000000003,0.62058,-0.3498,0.2288,0.6470100000000001,-0.34515,0.07857
39,1.0625,-0.27305,0.98824,1.0625300000000002,-0.16327,0.88076,1.2294200000000002,-0.19223,0.5001,1.2163300000000001,-0.20622,0.11,1.3598400000000002,-0.20452,0.07347,1.06717,-0.35277,0.8694500000000001,0.92644,-0.34737,0.48709,0.6293700000000001,-0.35183,0.2372,0.6525200000000001,-0.34817,0.08653
40,1.0772300000000001,-0.27299,0.98782,1.07765,-0.16345,0.8800600000000001,1.24154,-0.19186,0.4976400000000001,1.2418300000000002,-0.20764,0.10816,1.38759,-0.20655,0.07718,1.08236,-0.35298,0.8692,0.9428200000000001,-0.34689,0.48675,0.63863,-0.3538,0.24567999999999998,0.6584200000000001,-0.35115,0.09464
41,1.09188,-0.27293,0.98706,1.09274,-0.16366,0.879,1.25389,-0.19148,0.49515,1.2661,-0.20908,0.10668,1.41369,-0.2084,0.08079,1.09757,-0.35322,0.8686200000000001,0.95967,-0.34638,0.48593000000000003,0.64843,-0.35569,0.25422,0.66477,-0.3541,0.10285
